Location,Indicator,Period,First Tooltip
Madagascar,"Psychologists working in mental health sector (per 100,000)",2016,0.062
Malaysia,"Psychologists working in mental health sector (per 100,000)",2016,1.03
Maldives,"Psychologists working in mental health sector (per 100,000)",2017,2.15
Mali,"Psychologists working in mental health sector (per 100,000)",2016,0.011
Marshall Islands,"Psychologists working in mental health sector (per 100,000)",2017,1.89
Mauritania,"Psychologists working in mental health sector (per 100,000)",2013,0.14
Mexico,"Psychologists working in mental health sector (per 100,000)",2016,3.46
Monaco,"Psychologists working in mental health sector (per 100,000)",2016,53.52
Mongolia,"Psychologists working in mental health sector (per 100,000)",2016,0.1
Morocco,"Psychologists working in mental health sector (per 100,000)",2016,0.57
Mozambique,"Psychologists working in mental health sector (per 100,000)",2016,0.39
Namibia,"Psychologists working in mental health sector (per 100,000)",2016,1.44
Nepal,"Psychologists working in mental health sector (per 100,000)",2016,0.52
Netherlands,"Psychologists working in mental health sector (per 100,000)",2015,123.5
Nicaragua,"Psychologists working in mental health sector (per 100,000)",2017,1.79
Niger,"Psychologists working in mental health sector (per 100,000)",2016,0.019
Norway,"Psychologists working in mental health sector (per 100,000)",2016,73.52
Oman,"Psychologists working in mental health sector (per 100,000)",2015,0.79
Panama,"Psychologists working in mental health sector (per 100,000)",2016,7.33
Peru,"Psychologists working in mental health sector (per 100,000)",2016,9.51
Philippines,"Psychologists working in mental health sector (per 100,000)",2016,0.88
Poland,"Psychologists working in mental health sector (per 100,000)",2016,16.35
Qatar,"Psychologists working in mental health sector (per 100,000)",2016,1.41
Republic of Korea,"Psychologists working in mental health sector (per 100,000)",2016,1.59
Republic of Moldova,"Psychologists working in mental health sector (per 100,000)",2015,0.91
The former Yugoslav Republic of Macedonia,"Psychologists working in mental health sector (per 100,000)",2017,2.4
Romania,"Psychologists working in mental health sector (per 100,000)",2016,1.48
Russian Federation,"Psychologists working in mental health sector (per 100,000)",2015,4.64
Rwanda,"Psychologists working in mental health sector (per 100,000)",2016,0.39
Saint Vincent and the Grenadines,"Psychologists working in mental health sector (per 100,000)",2017,1.83
Sao Tome and Principe,"Psychologists working in mental health sector (per 100,000)",2016,3.07
Saudi Arabia,"Psychologists working in mental health sector (per 100,000)",2016,2.03
Senegal,"Psychologists working in mental health sector (per 100,000)",2016,0.02
Serbia,"Psychologists working in mental health sector (per 100,000)",2017,4.55
Seychelles,"Psychologists working in mental health sector (per 100,000)",2016,3.2
Sierra Leone,"Psychologists working in mental health sector (per 100,000)",2017,0.028
Slovenia,"Psychologists working in mental health sector (per 100,000)",2016,9.3
South Sudan,"Psychologists working in mental health sector (per 100,000)",2016,0.26
Sri Lanka,"Psychologists working in mental health sector (per 100,000)",2017,0.25
Suriname,"Psychologists working in mental health sector (per 100,000)",2016,0.54
Switzerland,"Psychologists working in mental health sector (per 100,000)",2015,84.14
Syrian Arab Republic,"Psychologists working in mental health sector (per 100,000)",2016,1.07
Thailand,"Psychologists working in mental health sector (per 100,000)",2016,1.75
Timor-Leste,"Psychologists working in mental health sector (per 100,000)",2016,0.081
Togo,"Psychologists working in mental health sector (per 100,000)",2016,0.4
Tonga,"Psychologists working in mental health sector (per 100,000)",2016,1.88
Tunisia,"Psychologists working in mental health sector (per 100,000)",2017,0.009
Türkiye,"Psychologists working in mental health sector (per 100,000)",2016,2.54
Uganda,"Psychologists working in mental health sector (per 100,000)",2016,0.037
United Arab Emirates,"Psychologists working in mental health sector (per 100,000)",2016,0.76
United Republic of Tanzania,"Psychologists working in mental health sector (per 100,000)",2015,0.009
United States of America,"Psychologists working in mental health sector (per 100,000)",2016,29.86
Uzbekistan,"Psychologists working in mental health sector (per 100,000)",2016,0.09
Vanuatu,"Psychologists working in mental health sector (per 100,000)",2016,0.76
Yemen,"Psychologists working in mental health sector (per 100,000)",2016,0.41
Zambia,"Psychologists working in mental health sector (per 100,000)",2016,0.031
Zimbabwe,"Psychologists working in mental health sector (per 100,000)",2016,0.057
